meses;red_A;red_B;red_C;red_D;red_E;red_F
01/01/2020;2034;5405482;203916;13686;989346;6614464
01/02/2020;3223;5137937;199639;13758;930327;6284884
01/03/2020;1595;2142050;103024;5691;438661;2691021
01/04/2020;276;469272;22150;735;93581;586014
01/05/2020;587;1254988;54408;2006;271591;1583580
01/06/2020;1491;2398723;100650;5696;630778;3137338
01/07/2020;1552;2725803;100779;5723;557959;3391816
01/08/2020;1530;2287378;97896;4905;436964;2828673
01/09/2020;2104;2568313;126626;7997;609098;3314138
01/10/2020;2477;2434085;125176;7717;613739;3183194
01/11/2020;9184;2539533;130938;7765;613530;3300950
01/12/2020;10935;2749250;120972;7515;590046;3478718
01/01/2021;12493;1781016;126644;8195;552594;2480942
01/02/2021;16301;1423157;118877;7070;586646;2152051
01/03/2021;21011;1644442;129608;8190;686397;2489648
01/04/2021;26321;1654495;133934;8205;670005;2492960
01/05/2021;32059;1849648;138019;8777;708268;2736771
01/06/2021;35314;1959762;134564;9118;731581;2870339
01/07/2021;51380;1862466;116104;7377;623030;2660357
01/08/2021;49504;1685882;113880;6786;520616;2376668
01/09/2021;80546;2398504;158299;11710;795683;3444742
01/10/2021;99066;2725387;157824;12214;821127;3815618
01/11/2021;112044;2697329;165516;12358;838667;3825914
01/12/2021;107339;2556821;147539;10627;774591;3596917
01/01/2022;120457;2289651;163721;10669;794507;3379005
01/02/2022;130009;2393153;154826;10818;774527;3463333
01/03/2022;161206;2746636;171570;12691;893143;3985246
01/04/2022;157575;2717063;168643;12244;796448;3851973
01/05/2022;179808;2924117;174573;12658;859312;4150468
01/06/2022;177452;2819218;162059;11994;806495;3977218
01/07/2022;154512;2544176;139680;9152;647474;3494994
01/08/2022;126903;2137609;116713;7597;516993;2905815
01/09/2022;287539;3006874;196343;14795;960205;4465756
01/10/2022;398643;3143397;195055;13672;905095;4655862
01/11/2022;444321;2920154;182273;12959;869138;4428845
01/12/2022;518220;3126791;186494;12920;870241;4714666
01/01/2023;453514;2662705;165100;11269;479770;3772358
01/02/2023;527685;2646355;153677;10755;516498;3854970
01/03/2023;597886;2913594;163777;11198;544583;4231038
01/04/2023;588174;2892493;158703;10352;474013;4123735
01/05/2023;655689;2951741;163810;10866;522230;4304336
01/06/2023;689709;2951134;160824;10490;544889;4357046
01/07/2023;552838;2505360;159402;7935;423622;3649157
